Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2018,Round of 64,1,Villanova,16,Radford,Villanova
2018,Round of 64,2,Purdue,15,Cal State Fullerton,Purdue
2018,Round of 64,3,Texas Tech,14,Stephen F. Austin,Texas Tech
2018,Round of 64,13,Marshall,4,Wichita State,Marshall
2018,Round of 64,5,West Virginia,12,Murray State,West Virginia
2018,Round of 64,6,Florida,11,St. Bonaventure,Florida
2018,Round of 64,10,Butler,7,Arkansas,Butler
2018,Round of 64,9,Alabama,8,Virginia Tech,Alabama
2018,Round of 64,1,Xavier,16,Texas Southern,Xavier
2018,Round of 64,2,North Carolina,15,Lipscomb,North Carolina
2018,Round of 64,3,Michigan,14,Montana,Michigan
2018,Round of 64,4,Gonzaga,13,UNC Greensboro,Gonzaga
2018,Round of 64,5,Ohio State,12,South Dakota State,Ohio State
2018,Round of 64,6,Houston,11,San Diego State,Houston
2018,Round of 64,7,Texas A&M,10,Providence,Texas A&M
2018,Round of 64,9,Florida State,8,Missouri,Florida State
2018,Round of 64,16,UMBC,1,Virginia,UMBC
2018,Round of 64,2,Cincinnati,15,Georgia State,Cincinnati
2018,Round of 64,3,Tennessee,14,Wright State,Tennessee
2018,Round of 64,13,Buffalo,4,Arizona,Buffalo
2018,Round of 64,5,Kentucky,12,Davidson,Kentucky
2018,Round of 64,11,Loyola Chicago,6,Miami (Fla.),Loyola Chicago
2018,Round of 64,7,Nevada,10,Texas,Nevada
2018,Round of 64,9,Kansas State,8,Creighton,Kansas State
2018,Round of 64,1,Kansas,16,Pennsylvania,Kansas
2018,Round of 64,2,Duke,15,Iona,Duke
2018,Round of 64,3,Michigan State,14,Bucknell,Michigan State
2018,Round of 64,4,Auburn,13,College of Charleston,Auburn
2018,Round of 64,5,Clemson,12,New Mexico State,Clemson
2018,Round of 64,11,Syracuse,6,TCU,Syracuse
2018,Round of 64,7,Rhode Island,10,Oklahoma,Rhode Island
2018,Round of 64,8,Seton Hall,9,NC State,Seton Hall
2018,Round of 32,1,Villanova,9,Alabama,Villanova
2018,Round of 32,2,Purdue,10,Butler,Purdue
2018,Round of 32,3,Texas Tech,6,Florida,Texas Tech
2018,Round of 32,5,West Virginia,13,Marshall,West Virginia
2018,Round of 32,9,Florida State,1,Xavier,Florida State
2018,Round of 32,7,Texas A&M,2,North Carolina,Texas A&M
2018,Round of 32,3,Michigan,6,Houston,Michigan
2018,Round of 32,4,Gonzaga,5,Ohio State,Gonzaga
2018,Round of 32,9,Kansas State,16,UMBC,Kansas State
2018,Round of 32,7,Nevada,2,Cincinnati,Nevada
2018,Round of 32,11,Loyola Chicago,3,Tennessee,Loyola Chicago
2018,Round of 32,5,Kentucky,13,Buffalo,Kentucky
2018,Round of 32,1,Kansas,8,Seton Hall,Kansas
2018,Round of 32,2,Duke,7,Rhode Island,Duke
2018,Round of 32,11,Syracuse,3,Michigan State,Syracuse
2018,Round of 32,5,Clemson,4,Auburn,Clemson
2018,Sweet 16,1,Villanova,5,West Virginia,Villanova
2018,Sweet 16,3,Texas Tech,2,Purdue,Texas Tech
2018,Sweet 16,9,Florida State,4,Gonzaga,Florida State
2018,Sweet 16,3,Michigan,7,Texas A&M,Michigan
2018,Sweet 16,9,Kansas State,5,Kentucky,Kansas State
2018,Sweet 16,11,Loyola Chicago,7,Nevada,Loyola Chicago
2018,Sweet 16,1,Kansas,5,Clemson,Kansas
2018,Sweet 16,2,Duke,11,Syracuse,Duke
2018,Elite Eight,1,Villanova,3,Texas Tech,Villanova
2018,Elite Eight,3,Michigan,9,Florida State,Michigan
2018,Elite Eight,11,Loyola Chicago,9,Kansas State,Loyola Chicago
2018,Elite Eight,1,Kansas,2,Duke,Kansas
2018,Final Four,1,Villanova,1,Kansas,Villanova
2018,Final Four,3,Michigan,11,Loyola Chicago,Michigan
2018,Championship,1,Villanova,3,Michigan,Villanova
