Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2016,Round of 64,1,North Carolina,16,Florida Gulf Coast,North Carolina
2016,Round of 64,2,Xavier,15,Weber State,Xavier
2016,Round of 64,14,Stephen F. Austin,3,West Virginia,Stephen F. Austin
2016,Round of 64,4,Kentucky,13,Stony Brook,Kentucky
2016,Round of 64,5,Indiana,12,Chattanooga,Indiana
2016,Round of 64,6,Notre Dame,11,Michigan,Notre Dame
2016,Round of 64,7,Wisconsin,10,Pittsburgh,Wisconsin
2016,Round of 64,9,Providence,8,Southern California,Providence
2016,Round of 64,1,Oregon,16,Holy Cross,Oregon
2016,Round of 64,2,Oklahoma,15,Cal State Bakersfield,Oklahoma
2016,Round of 64,3,Texas A&M,14,Green Bay,Texas A&M
2016,Round of 64,4,Duke,13,UNC Wilmington,Duke
2016,Round of 64,12,Yale,5,Baylor,Yale
2016,Round of 64,11,Northern Iowa,6,Texas,Northern Iowa
2016,Round of 64,10,VCU,7,Oregon State,VCU
2016,Round of 64,8,Saint Joseph's,9,Cincinnati,Saint Joseph's
2016,Round of 64,1,Kansas,16,Austin Peay,Kansas
2016,Round of 64,2,Villanova,15,UNC Asheville,Villanova
2016,Round of 64,3,Miami (Fla.),14,Buffalo,Miami (Fla.)
2016,Round of 64,13,Hawai'i,4,California,Hawai'i
2016,Round of 64,5,Maryland,12,South Dakota State,Maryland
2016,Round of 64,11,Wichita State,6,Arizona,Wichita State
2016,Round of 64,7,Iowa,10,Temple,Iowa
2016,Round of 64,9,UConn,8,Colorado,UConn
2016,Round of 64,1,Virginia,16,Hampton,Virginia
2016,Round of 64,15,Middle Tennessee,2,Michigan State,Middle Tennessee
2016,Round of 64,3,Utah,14,Fresno State,Utah
2016,Round of 64,4,Iowa State,13,Iona,Iowa State
2016,Round of 64,12,Little Rock,5,Purdue,Little Rock
2016,Round of 64,11,Gonzaga,6,Seton Hall,Gonzaga
2016,Round of 64,10,Syracuse,7,Dayton,Syracuse
2016,Round of 64,9,Butler,8,Texas Tech,Butler
2016,Round of 32,1,North Carolina,9,Providence,North Carolina
2016,Round of 32,7,Wisconsin,2,Xavier,Wisconsin
2016,Round of 32,5,Indiana,4,Kentucky,Indiana
2016,Round of 32,6,Notre Dame,14,Stephen F. Austin,Notre Dame
2016,Round of 32,1,Oregon,8,Saint Joseph's,Oregon
2016,Round of 32,2,Oklahoma,10,VCU,Oklahoma
2016,Round of 32,3,Texas A&M,11,Northern Iowa,Texas A&M
2016,Round of 32,4,Duke,12,Yale,Duke
2016,Round of 32,1,Kansas,9,UConn,Kansas
2016,Round of 32,2,Villanova,7,Iowa,Villanova
2016,Round of 32,3,Miami (Fla.),11,Wichita State,Miami (Fla.)
2016,Round of 32,5,Maryland,13,Hawai'i,Maryland
2016,Round of 32,1,Virginia,9,Butler,Virginia
2016,Round of 32,11,Gonzaga,3,Utah,Gonzaga
2016,Round of 32,4,Iowa State,12,Little Rock,Iowa State
2016,Round of 32,10,Syracuse,15,Middle Tennessee,Syracuse
2016,Sweet 16,1,North Carolina,5,Indiana,North Carolina
2016,Sweet 16,6,Notre Dame,7,Wisconsin,Notre Dame
2016,Sweet 16,1,Oregon,4,Duke,Oregon
2016,Sweet 16,2,Oklahoma,3,Texas A&M,Oklahoma
2016,Sweet 16,1,Kansas,5,Maryland,Kansas
2016,Sweet 16,2,Villanova,3,Miami (Fla.),Villanova
2016,Sweet 16,1,Virginia,4,Iowa State,Virginia
2016,Sweet 16,10,Syracuse,11,Gonzaga,Syracuse
2016,Elite Eight,1,North Carolina,6,Notre Dame,North Carolina
2016,Elite Eight,2,Oklahoma,1,Oregon,Oklahoma
2016,Elite Eight,2,Villanova,1,Kansas,Villanova
2016,Elite Eight,10,Syracuse,1,Virginia,Syracuse
2016,Final Four,1,North Carolina,10,Syracuse,North Carolina
2016,Final Four,2,Villanova,2,Oklahoma,Villanova
2016,Championship,2,Villanova,1,North Carolina,Villanova
