Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2015,Round of 64,1,Kentucky,16,Hampton,Kentucky
2015,Round of 64,2,Kansas,15,New Mexico State,Kansas
2015,Round of 64,3,Notre Dame,14,Northeastern,Notre Dame
2015,Round of 64,4,Maryland,13,Valparaiso,Maryland
2015,Round of 64,5,West Virginia,12,Buffalo,West Virginia
2015,Round of 64,6,Butler,11,Texas,Butler
2015,Round of 64,7,Wichita State,10,Indiana,Wichita State
2015,Round of 64,8,Cincinnati,9,Purdue,Cincinnati
2015,Round of 64,1,Wisconsin,16,Coastal Carolina,Wisconsin
2015,Round of 64,2,Arizona,15,Texas Southern,Arizona
2015,Round of 64,14,Georgia State,3,Baylor,Georgia State
2015,Round of 64,4,North Carolina,13,Harvard,North Carolina
2015,Round of 64,5,Arkansas,12,Wofford,Arkansas
2015,Round of 64,6,Xavier,11,Ole Miss,Xavier
2015,Round of 64,10,Ohio State,7,VCU,Ohio State
2015,Round of 64,8,Oregon,9,Oklahoma State,Oregon
2015,Round of 64,1,Villanova,16,Lafayette,Villanova
2015,Round of 64,2,Virginia,15,Belmont,Virginia
2015,Round of 64,3,Oklahoma,14,Albany,Oklahoma
2015,Round of 64,4,Louisville,13,UC Irvine,Louisville
2015,Round of 64,5,Northern Iowa,12,Wyoming,Northern Iowa
2015,Round of 64,11,Dayton,6,Providence,Dayton
2015,Round of 64,7,Michigan State,10,Georgia,Michigan State
2015,Round of 64,8,NC State,9,LSU,NC State
2015,Round of 64,1,Duke,16,Robert Morris,Duke
2015,Round of 64,2,Gonzaga,15,North Dakota State,Gonzaga
2015,Round of 64,14,UAB,3,Iowa State,UAB
2015,Round of 64,4,Georgetown,13,Eastern Washington,Georgetown
2015,Round of 64,5,Utah,12,Stephen F. Austin,Utah
2015,Round of 64,11,UCLA,6,SMU,UCLA
2015,Round of 64,7,Iowa,10,Davidson,Iowa
2015,Round of 64,8,San Diego State,9,St. John's,San Diego State
2015,Round of 32,1,Kentucky,8,Cincinnati,Kentucky
2015,Round of 32,7,Wichita State,2,Kansas,Wichita State
2015,Round of 32,3,Notre Dame,6,Butler,Notre Dame
2015,Round of 32,5,West Virginia,4,Maryland,West Virginia
2015,Round of 32,1,Wisconsin,8,Oregon,Wisconsin
2015,Round of 32,2,Arizona,10,Ohio State,Arizona
2015,Round of 32,6,Xavier,14,Georgia State,Xavier
2015,Round of 32,4,North Carolina,5,Arkansas,North Carolina
2015,Round of 32,8,NC State,1,Villanova,NC State
2015,Round of 32,7,Michigan State,2,Virginia,Michigan State
2015,Round of 32,3,Oklahoma,11,Dayton,Oklahoma
2015,Round of 32,4,Louisville,5,Northern Iowa,Louisville
2015,Round of 32,1,Duke,8,San Diego State,Duke
2015,Round of 32,2,Gonzaga,7,Iowa,Gonzaga
2015,Round of 32,11,UCLA,14,UAB,UCLA
2015,Round of 32,5,Utah,4,Georgetown,Utah
2015,Sweet 16,1,Kentucky,5,West Virginia,Kentucky
2015,Sweet 16,3,Notre Dame,7,Wichita State,Notre Dame
2015,Sweet 16,1,Wisconsin,4,North Carolina,Wisconsin
2015,Sweet 16,2,Arizona,6,Xavier,Arizona
2015,Sweet 16,4,Louisville,8,NC State,Louisville
2015,Sweet 16,7,Michigan State,3,Oklahoma,Michigan State
2015,Sweet 16,1,Duke,5,Utah,Duke
2015,Sweet 16,2,Gonzaga,11,UCLA,Gonzaga
2015,Elite Eight,1,Kentucky,3,Notre Dame,Kentucky
2015,Elite Eight,1,Wisconsin,2,Arizona,Wisconsin
2015,Elite Eight,7,Michigan State,4,Louisville,Michigan State
2015,Elite Eight,1,Duke,2,Gonzaga,Duke
2015,Final Four,1,Duke,7,Michigan State,Duke
2015,Final Four,1,Wisconsin,1,Kentucky,Wisconsin
2015,Championship,1,Duke,1,Wisconsin,Duke
