Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2023,Round of 64,1,Houston,16,North Kentucky,Houston
2023,Round of 64,9,Auburn,8,Iowa,Auburn
2023,Round of 64,5,Miami (FL),12,Drake,Miami (FL)
2023,Round of 64,4,Indiana,13,Kent St.,Indiana
2023,Round of 64,11,Pitt,6,Iowa St.,Pitt
2023,Round of 64,3,Xavier,14,Kennesaw St.,Xavier
2023,Round of 64,10,Penn St.,7,Texas A&M,Penn St.
2023,Round of 64,2,Texas,15,Colgate,Texas
2023,Round of 64,1,Kansas,16,Howard,Kansas
2023,Round of 64,8,Arkansas,9,Illinois,Arkansas
2023,Round of 64,5,St. Mary’s,12,VCU,St. Mary’s
2023,Round of 64,4,UConn,13,Iona,UConn
2023,Round of 64,6,TCU,11,Arizona St.,TCU
2023,Round of 64,3,Gonzaga,14,Grand Canyon,Gonzaga
2023,Round of 64,7,Northwestern,10,Boise St.,Northwestern
2023,Round of 64,2,UCLA,15,UNC Asheville,UCLA
2023,Round of 64,16,FDU,1,Purdue,FDU
2023,Round of 64,9,FAU,8,Memphis,FAU
2023,Round of 64,5,Duke,12,Oral Roberts,Duke
2023,Round of 64,4,Tennessee,13,Louisiana,Tennessee
2023,Round of 64,6,Kentucky,11,Providence,Kentucky
2023,Round of 64,3,Kansas St.,14,Montana St.,Kansas St.
2023,Round of 64,7,Michigan St.,10,USC,Michigan St.
2023,Round of 64,2,Marquette,15,Vermont,Marquette
2023,Round of 64,1,Alabama,16,Texas A&M-CC,Alabama
2023,Round of 64,8,Maryland,9,West Virginia,Maryland
2023,Round of 64,5,San Diego St.,12,Col of Charleston,San Diego St.
2023,Round of 64,13,Furman,4,Virginia,Furman
2023,Round of 64,6,Creighton,11,NC State,Creighton
2023,Round of 64,3,Baylor,14,UCSB,Baylor
2023,Round of 64,7,Missouri,10,Utah St.,Missouri
2023,Round of 64,15,Princeton,2,Arizona,Princeton
2023,Round of 32,1,Houston,9,Auburn,Houston
2023,Round of 32,5,Miami (FL),4,Indiana,Miami (FL)
2023,Round of 32,3,Xavier,11,Pitt,Xavier
2023,Round of 32,2,Texas,10,Penn St.,Texas
2023,Round of 32,8,Arkansas,1,Kansas,Arkansas
2023,Round of 32,4,UConn,5,St. Mary’s,UConn
2023,Round of 32,3,Gonzaga,6,TCU,Gonzaga
2023,Round of 32,2,UCLA,7,Northwestern,UCLA
2023,Round of 32,9,FAU,16,FDU,FAU
2023,Round of 32,4,Tennessee,5,Duke,Tennessee
2023,Round of 32,3,Kansas St.,6,Kentucky,Kansas St.
2023,Round of 32,7,Michigan St.,2,Marquette,Michigan St.
2023,Round of 32,1,Alabama,8,Maryland,Alabama
2023,Round of 32,5,San Diego St.,13,Furman,San Diego St.
2023,Round of 32,6,Creighton,3,Baylor,Creighton
2023,Round of 32,15,Princeton,7,Missouri,Princeton
2023,Sweet 16,5,Miami (FL),1,Houston,Miami (FL)
2023,Sweet 16,2,Texas,3,Xavier,Texas
2023,Sweet 16,4,UConn,8,Arkansas,UConn
2023,Sweet 16,3,Gonzaga,2,UCLA,Gonzaga
2023,Sweet 16,9,FAU,4,Tennessee,FAU
2023,Sweet 16,3,Kansas St.,7,Michigan St.,Kansas St.
2023,Sweet 16,5,San Diego St.,1,Alabama,San Diego St.
2023,Sweet 16,6,Creighton,15,Princeton,Creighton
2023,Elite Eight,5,Miami (FL),2,Texas,Miami (FL)
2023,Elite Eight,4,UConn,3,Gonzaga,UConn
2023,Elite Eight,9,FAU,3,Kansas St.,FAU
2023,Elite Eight,5,San Diego St.,6,Creighton,San Diego St.
2023,Final Four,5,San Diego St.,9,FAU,San Diego St.
2023,Final Four,4,UConn,5,Miami (FL),UConn
2023,Championship,4,UConn,5,San Diego St.,UConn
