Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2017,Round of 64,1,Villanova,16,Mount St. Mary's,Villanova
2017,Round of 64,2,Duke,15,Troy,Duke
2017,Round of 64,3,Baylor,14,New Mexico State,Baylor
2017,Round of 64,4,Florida,13,East Tennessee State,Florida
2017,Round of 64,5,Virginia,12,UNC Wilmington,Virginia
2017,Round of 64,11,Southern California,6,SMU,Southern California
2017,Round of 64,7,South Carolina,10,Marquette,South Carolina
2017,Round of 64,8,Wisconsin,9,Virginia Tech,Wisconsin
2017,Round of 64,1,Gonzaga,16,South Dakota State,Gonzaga
2017,Round of 64,2,Arizona,15,North Dakota,Arizona
2017,Round of 64,3,Florida State,14,Florida Gulf Coast,Florida State
2017,Round of 64,4,West Virginia,13,Bucknell,West Virginia
2017,Round of 64,5,Notre Dame,12,Princeton,Notre Dame
2017,Round of 64,11,Xavier,6,Maryland,Xavier
2017,Round of 64,7,Saint Mary's,10,VCU,Saint Mary's
2017,Round of 64,8,Northwestern,9,Vanderbilt,Northwestern
2017,Round of 64,1,North Carolina,16,Texas Southern,North Carolina
2017,Round of 64,2,Kentucky,15,Northern Kentucky,Kentucky
2017,Round of 64,3,UCLA,14,Kent State,UCLA
2017,Round of 64,4,Butler,13,Winthrop,Butler
2017,Round of 64,12,Middle Tennessee,5,Minnesota,Middle Tennessee
2017,Round of 64,6,Cincinnati,11,Kansas State,Cincinnati
2017,Round of 64,10,Wichita State,7,Dayton,Wichita State
2017,Round of 64,8,Arkansas,9,Seton Hall,Arkansas
2017,Round of 64,1,Kansas,16,UC Davis,Kansas
2017,Round of 64,2,Louisville,15,Jacksonville State,Louisville
2017,Round of 64,3,Oregon,14,Iona,Oregon
2017,Round of 64,4,Purdue,13,Vermont,Purdue
2017,Round of 64,5,Iowa State,12,Nevada,Iowa State
2017,Round of 64,11,Rhode Island,6,Creighton,Rhode Island
2017,Round of 64,7,Michigan,10,Oklahoma State,Michigan
2017,Round of 64,9,Michigan State,8,Miami (Fla.),Michigan State
2017,Round of 32,8,Wisconsin,1,Villanova,Wisconsin
2017,Round of 32,7,South Carolina,2,Duke,South Carolina
2017,Round of 32,3,Baylor,11,Southern California,Baylor
2017,Round of 32,4,Florida,5,Virginia,Florida
2017,Round of 32,1,Gonzaga,8,Northwestern,Gonzaga
2017,Round of 32,2,Arizona,7,Saint Mary's,Arizona
2017,Round of 32,11,Xavier,3,Florida State,Xavier
2017,Round of 32,4,West Virginia,5,Notre Dame,West Virginia
2017,Round of 32,1,North Carolina,8,Arkansas,North Carolina
2017,Round of 32,2,Kentucky,10,Wichita State,Kentucky
2017,Round of 32,3,UCLA,6,Cincinnati,UCLA
2017,Round of 32,4,Butler,12,Middle Tennessee,Butler
2017,Round of 32,1,Kansas,9,Michigan State,Kansas
2017,Round of 32,7,Michigan,2,Louisville,Michigan
2017,Round of 32,3,Oregon,11,Rhode Island,Oregon
2017,Round of 32,4,Purdue,5,Iowa State,Purdue
2017,Sweet 16,4,Florida,8,Wisconsin,Florida
2017,Sweet 16,7,South Carolina,3,Baylor,South Carolina
2017,Sweet 16,1,Gonzaga,4,West Virginia,Gonzaga
2017,Sweet 16,11,Xavier,2,Arizona,Xavier
2017,Sweet 16,1,North Carolina,4,Butler,North Carolina
2017,Sweet 16,2,Kentucky,3,UCLA,Kentucky
2017,Sweet 16,1,Kansas,4,Purdue,Kansas
2017,Sweet 16,3,Oregon,7,Michigan,Oregon
2017,Elite Eight,7,South Carolina,4,Florida,South Carolina
2017,Elite Eight,1,Gonzaga,11,Xavier,Gonzaga
2017,Elite Eight,1,North Carolina,2,Kentucky,North Carolina
2017,Elite Eight,3,Oregon,1,Kansas,Oregon
2017,Final Four,1,Gonzaga,7,South Carolina,Gonzaga
2017,Final Four,1,North Carolina,3,Oregon,North Carolina
2017,Championship,1,North Carolina,1,Gonzaga,North Carolina
