Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2019,Round of 64,1,Duke,16,North Dakota State,Duke
2019,Round of 64,2,Michigan State,15,Bradley,Michigan State
2019,Round of 64,3,LSU,14,Yale,LSU
2019,Round of 64,4,Virginia Tech,13,Saint Louis,Virginia Tech
2019,Round of 64,12,Liberty,5,Mississippi State,Liberty
2019,Round of 64,6,Maryland,11,Belmont,Maryland
2019,Round of 64,10,Minnesota,7,Louisville,Minnesota
2019,Round of 64,9,UCF,8,VCU,UCF
2019,Round of 64,1,Gonzaga,16,Fairleigh Dickinson,Gonzaga
2019,Round of 64,2,Michigan,15,Montana,Michigan
2019,Round of 64,3,Texas Tech,14,Northern Kentucky,Texas Tech
2019,Round of 64,4,Florida State,13,Vermont,Florida State
2019,Round of 64,12,Murray State,5,Marquette,Murray State
2019,Round of 64,6,Buffalo,11,Arizona State,Buffalo
2019,Round of 64,10,Florida,7,Nevada,Florida
2019,Round of 64,9,Baylor,8,Syracuse,Baylor
2019,Round of 64,1,Virginia,16,Gardner-Webb,Virginia
2019,Round of 64,2,Tennessee,15,Colgate,Tennessee
2019,Round of 64,3,Purdue,14,Old Dominion,Purdue
2019,Round of 64,13,UC Irvine,4,Kansas State,UC Irvine
2019,Round of 64,12,Oregon,5,Wisconsin,Oregon
2019,Round of 64,6,Villanova,11,Saint Mary's,Villanova
2019,Round of 64,10,Iowa,7,Temple,Iowa
2019,Round of 64,9,Oklahoma,8,Ole Miss,Oklahoma
2019,Round of 64,1,North Carolina,16,Iona,North Carolina
2019,Round of 64,2,Kentucky,15,Abilene Christian,Kentucky
2019,Round of 64,3,Houston,14,Georgia State,Houston
2019,Round of 64,4,Kansas,13,Northeastern,Kansas
2019,Round of 64,5,Auburn,12,New Mexico State,Auburn
2019,Round of 64,11,Ohio State,6,Iowa State,Ohio State
2019,Round of 64,7,Wofford,10,Seton Hall,Wofford
2019,Round of 64,9,Washington,8,Utah State,Washington
2019,Round of 32,1,Duke,9,UCF,Duke
2019,Round of 32,2,Michigan State,10,Minnesota,Michigan State
2019,Round of 32,3,LSU,6,Maryland,LSU
2019,Round of 32,4,Virginia Tech,12,Liberty,Virginia Tech
2019,Round of 32,1,Gonzaga,9,Baylor,Gonzaga
2019,Round of 32,2,Michigan,10,Florida,Michigan
2019,Round of 32,3,Texas Tech,6,Buffalo,Texas Tech
2019,Round of 32,4,Florida State,12,Murray State,Florida State
2019,Round of 32,1,Virginia,9,Oklahoma,Virginia
2019,Round of 32,2,Tennessee,10,Iowa,Tennessee
2019,Round of 32,3,Purdue,6,Villanova,Purdue
2019,Round of 32,12,Oregon,13,UC Irvine,Oregon
2019,Round of 32,1,North Carolina,9,Washington,North Carolina
2019,Round of 32,2,Kentucky,7,Wofford,Kentucky
2019,Round of 32,3,Houston,11,Ohio State,Houston
2019,Round of 32,5,Auburn,4,Kansas,Auburn
2019,Sweet 16,1,Duke,4,Virginia Tech,Duke
2019,Sweet 16,2,Michigan State,3,LSU,Michigan State
2019,Sweet 16,1,Gonzaga,4,Florida State,Gonzaga
2019,Sweet 16,3,Texas Tech,2,Michigan,Texas Tech
2019,Sweet 16,1,Virginia,12,Oregon,Virginia
2019,Sweet 16,3,Purdue,2,Tennessee,Purdue
2019,Sweet 16,5,Auburn,1,North Carolina,Auburn
2019,Sweet 16,2,Kentucky,3,Houston,Kentucky
2019,Elite Eight,2,Michigan State,1,Duke,Michigan State
2019,Elite Eight,3,Texas Tech,1,Gonzaga,Texas Tech
2019,Elite Eight,1,Virginia,3,Purdue,Virginia
2019,Elite Eight,5,Auburn,2,Kentucky,Auburn
2019,Final Four,1,Virginia,5,Auburn,Virginia
2019,Final Four,3,Texas Tech,2,Michigan State,Texas Tech
2019,Championship,1,Virginia,3,Texas Tech,Virginia
