Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2025,Round of 64,9,Creighton,8,Louisville,Creighton
2025,Round of 64,4,Purdue,13,High Point,Purdue
2025,Round of 64,3,Wisconsin,14,Montana,Wisconsin
2025,Round of 64,1,Houston,16,SIU Edwardsville,Houston
2025,Round of 64,1,Auburn,16,Alabama State,Auburn
2025,Round of 64,12,McNeese,5,Clemson,McNeese
2025,Round of 64,6,BYU,11,VCU,BYU
2025,Round of 64,8,Gonzaga,9,Georgia,Gonzaga
2025,Round of 64,2,Tennessee,15,Wofford,Tennessee
2025,Round of 64,10,Arkansas,7,Kansas,Arkansas
2025,Round of 64,4,Texas A&M,13,Yale,Texas A&M
2025,Round of 64,11,Drake,6,Missouri,Drake
2025,Round of 64,7,UCLA,10,Utah State,UCLA
2025,Round of 64,2,St. John's,15,Omaha,St. John's
2025,Round of 64,5,Michigan,12,UC San Diego,Michigan
2025,Round of 64,3,Texas Tech,14,UNC Wilmington,Texas Tech
2025,Round of 64,9,Baylor,8,Mississippi State,Baylor
2025,Round of 64,2,Alabama,15,Robert Morris,Alabama
2025,Round of 64,3,Iowa State,14,Lipscomb,Iowa State
2025,Round of 64,12,Colorado State,5,Memphis,Colorado State
2025,Round of 64,1,Duke,16,Mount St. Mary's,Duke
2025,Round of 64,7,Saint Mary's,10,Vanderbilt,Saint Mary's
2025,Round of 64,6,Ole Miss,11,North Carolina,Ole Miss
2025,Round of 64,4,Maryland,13,Grand Canyon,Maryland
2025,Round of 64,1,Florida,16,Norfolk State,Florida
2025,Round of 64,3,Kentucky,14,Troy,Kentucky
2025,Round of 64,10,New Mexico,7,Marquette,New Mexico
2025,Round of 64,4,Arizona,13,Akron,Arizona
2025,Round of 64,8,UConn,9,Oklahoma,UConn
2025,Round of 64,6,Illinois,11,Xavier,Illinois
2025,Round of 64,2,Michigan State,15,Bryant,Michigan State
2025,Round of 64,5,Oregon,12,Liberty,Oregon
2025,Round of 32,4,Purdue,12,McNeese,Purdue
2025,Round of 32,10,Arkansas,2,St. John's,Arkansas
2025,Round of 32,5,Michigan,4,Texas A&M,Michigan
2025,Round of 32,3,Texas Tech,11,Drake,Texas Tech
2025,Round of 32,1,Auburn,9,Creighton,Auburn
2025,Round of 32,6,BYU,3,Wisconsin,BYU
2025,Round of 32,1,Houston,8,Gonzaga,Houston
2025,Round of 32,2,Tennessee,7,UCLA,Tennessee
2025,Round of 32,1,Florida,8,UConn,Florida
2025,Round of 32,1,Duke,9,Baylor,Duke
2025,Round of 32,3,Kentucky,6,Illinois,Kentucky
2025,Round of 32,2,Alabama,7,Saint Mary's,Alabama
2025,Round of 32,4,Maryland,12,Colorado State,Maryland
2025,Round of 32,6,Ole Miss,3,Iowa State,Ole Miss
2025,Round of 32,2,Michigan State,10,New Mexico,Michigan State
2025,Round of 32,4,Arizona,5,Oregon,Arizona
2025,Sweet 16,2,Alabama,6,BYU,Alabama
2025,Sweet 16,1,Florida,4,Maryland,Florida
2025,Sweet 16,1,Duke,4,Arizona,Duke
2025,Sweet 16,3,Texas Tech,10,Arkansas,Texas Tech
2025,Sweet 16,2,Michigan State,6,Ole Miss,Michigan State
2025,Sweet 16,2,Tennessee,3,Kentucky,Tennessee
2025,Sweet 16,1,Auburn,5,Michigan,Auburn
2025,Sweet 16,1,Houston,4,Purdue,Houston
2025,Elite Eight,1,Florida,3,Texas Tech,Florida
2025,Elite Eight,1,Duke,2,Alabama,Duke
2025,Elite Eight,1,Houston,2,Tennessee,Houston
2025,Elite Eight,1,Auburn,2,Michigan State,Auburn
2025,Final Four,1,Florida,1,Auburn,Florida
2025,Final Four,1,Houston,1,Duke,Houston
2025,Championship,1,Florida,1,Houston,Florida
