Year,Round,Seed_1,Team_1,Seed_2,Team_2,Winner
2022,Round of 64,1,Kansas,16,Texas Southern,Kansas
2022,Round of 64,9,Creighton,8,San Diego St.,Creighton
2022,Round of 64,12,Richmond,5,Iowa,Richmond
2022,Round of 64,4,Providence,13,S. Dakota St.,Providence
2022,Round of 64,11,Iowa St.,6,LSU,Iowa St.
2022,Round of 64,3,Wisconsin,14,Colgate,Wisconsin
2022,Round of 64,10,Miami (FL),7,USC,Miami (FL)
2022,Round of 64,2,Auburn,15,Jacksonville St.,Auburn
2022,Round of 64,1,Gonzaga,16,Georgia St.,Gonzaga
2022,Round of 64,9,Memphis,8,Boise St.,Memphis
2022,Round of 64,12,New Mexico St.,5,UConn,New Mexico St.
2022,Round of 64,4,Arkansas,13,Vermont,Arkansas
2022,Round of 64,11,Notre Dame,6,Alabama,Notre Dame
2022,Round of 64,3,Texas Tech,14,Montana St.,Texas Tech
2022,Round of 64,7,Michigan St.,10,Davidson,Michigan St.
2022,Round of 64,2,Duke,15,Cal St. Fullerton,Duke
2022,Round of 64,1,Baylor,16,Norfolk St.,Baylor
2022,Round of 64,8,North Carolina,9,Marquette,North Carolina
2022,Round of 64,5,Saint Mary’s,12,Indiana,Saint Mary’s
2022,Round of 64,4,UCLA,13,Akron,UCLA
2022,Round of 64,6,Texas,11,Virginia Tech,Texas
2022,Round of 64,3,Purdue,14,Yale,Purdue
2022,Round of 64,7,Murray St.,10,San Francisco,Murray St.
2022,Round of 64,15,St. Peter’s,2,Kentucky,St. Peter’s
2022,Round of 64,1,Arizona,16,Wright St.,Arizona
2022,Round of 64,9,TCU,8,Seton Hall,TCU
2022,Round of 64,5,Houston,12,UAB,Houston
2022,Round of 64,4,Illinois,13,Chattanooga,Illinois
2022,Round of 64,11,Michigan,6,Colorado St.,Michigan
2022,Round of 64,3,Tennessee,14,Longwood,Tennessee
2022,Round of 64,7,Ohio St.,10,Loyola Chicago,Ohio St.
2022,Round of 64,2,Villanova,15,Delaware,Villanova
2022,Round of 32,1,Kansas,9,Creighton,Kansas
2022,Round of 32,4,Providence,12,Richmond,Providence
2022,Round of 32,11,Iowa St.,3,Wisconsin,Iowa St.
2022,Round of 32,10,Miami (FL),2,Auburn,Miami (FL)
2022,Round of 32,1,Gonzaga,9,Memphis,Gonzaga
2022,Round of 32,4,Arkansas,12,New Mexico St.,Arkansas
2022,Round of 32,3,Texas Tech,11,Notre Dame,Texas Tech
2022,Round of 32,2,Duke,7,Michigan St.,Duke
2022,Round of 32,8,North Carolina,1,Baylor,North Carolina
2022,Round of 32,4,UCLA,5,Saint Mary’s,UCLA
2022,Round of 32,3,Purdue,6,Texas,Purdue
2022,Round of 32,15,St. Peter’s,7,Murray St.,St. Peter’s
2022,Round of 32,1,Arizona,9,TCU,Arizona
2022,Round of 32,5,Houston,4,Illinois,Houston
2022,Round of 32,11,Michigan,3,Tennessee,Michigan
2022,Round of 32,2,Villanova,7,Ohio St.,Villanova
2022,Sweet 16,1,Kansas,4,Providence,Kansas
2022,Sweet 16,10,Miami (FL),11,Iowa St.,Miami (FL)
2022,Sweet 16,4,Arkansas,1,Gonzaga,Arkansas
2022,Sweet 16,2,Duke,3,Texas Tech,Duke
2022,Sweet 16,8,North Carolina,4,UCLA,North Carolina
2022,Sweet 16,15,St. Peter’s,3,Purdue,St. Peter’s
2022,Sweet 16,5,Houston,1,Arizona,Houston
2022,Sweet 16,2,Villanova,11,Michigan,Villanova
2022,Elite Eight,1,Kansas,10,Miami (FL),Kansas
2022,Elite Eight,2,Duke,4,Arkansas,Duke
2022,Elite Eight,8,North Carolina,15,St. Peter’s,North Carolina
2022,Elite Eight,2,Villanova,5,Houston,Villanova
2022,Final Four,8,North Carolina,2,Duke,North Carolina
2022,Final Four,1,Kansas,2,Villanova,Kansas
2022,Championship,1,Kansas,8,North Carolina,Kansas
